review_uid,destination,source,language_review,stars,date,text_clean,polaridad_sugerida,aspecto_sugerido,motivo_minado,score_minado,prioridad_anotacion,label
gm_6b9460469e0fdf21,Museo Tumbas Reales del Señor de Sipán,Google Maps,es,2,2023-12-03T06:26:09.496Z,"Gran lugar, historia pura, pero pésimo servicio brindan las personas encargadas",negativo,atractivos,estrellas=2 | lex_neg:pesimo | conector:pero | estrellas_bajas,0.7,alta,negativo
gm_6b9460469e0fdf21,Museo Tumbas Reales del Señor de Sipán,Google Maps,es,2,2023-12-03T06:26:09.496Z,"Gran lugar, historia pura, pero pésimo servicio brindan las personas encargadas",negativo,atencion_servicio,estrellas=2 | lex_neg:pesimo | conector:pero | estrellas_bajas,0.7,alta,negativo
gm_d54ff9b92f08e7f1,Museo de Sitio Huaca Pucllana,Google Maps,en,2,2021-09-23T18:03:31.468Z,"The site is fascinating but the English tour guide was terrible, she walked extremely fast and wouldn’t wait for the people to start the next explanation. Terrible accent she seem like she was in a hurry to get it over soon. I’ll have to read more about it.",negativo,accesibilidad,estrellas=2 | lex_neg:terrible | conector:but | estrellas_bajas,0.7,alta,negativo
gm_d54ff9b92f08e7f1,Museo de Sitio Huaca Pucllana,Google Maps,en,2,2021-09-23T18:03:31.468Z,"The site is fascinating but the English tour guide was terrible, she walked extremely fast and wouldn’t wait for the people to start the next explanation. Terrible accent she seem like she was in a hurry to get it over soon. I’ll have to read more about it.",negativo,atencion_servicio,estrellas=2 | lex_neg:terrible | conector:but | estrellas_bajas,0.7,alta,negativo
gm_02d5608f2d0e8410,Parque Arqueológico de Sacsayhuamán,Google Maps,en,2,2025-01-04T16:13:14.183Z,"Wildly Overpriced - it's nice set of ruins in Cusco with a great view of the city, but it's insanely overpriced (70 Soles) for an area with no actual significance, and no attempt to invest in the tourist experience. Go next door for free to the Christ the Redeemer statue instead",negativo,atractivos,estrellas=2 | lex_neg:overpriced | conector:but | estrellas_bajas,0.7,alta,negativo
gm_02d5608f2d0e8410,Parque Arqueológico de Sacsayhuamán,Google Maps,en,2,2025-01-04T16:13:14.183Z,"Wildly Overpriced - it's nice set of ruins in Cusco with a great view of the city, but it's insanely overpriced (70 Soles) for an area with no actual significance, and no attempt to invest in the tourist experience. Go next door for free to the Christ the Redeemer statue instead",negativo,costos,estrellas=2 | lex_neg:overpriced | conector:but | estrellas_bajas,0.7,alta,negativo
gm_78cbcd9377ccf1f9,Parque Arqueológico de Sacsayhuamán,Google Maps,en,1,2019-05-26T12:30:02.403Z,"This isn't a review on the site but the money grabbing that is going on, when going to see the site turns into having to buy a 70 soles combined site ticket (and that was the cheapest ticket available.) Forcing me to buy expensive packaged tickets for multiple archaeological/historical sites that i will not go to is money grabbing and nothing more, I would have happily bought a ticket to enter the site, whatever that would have been, but 70 soles?",negativo,atractivos,estrellas=1 | lex_neg:expensive | conector:but | estrellas_bajas,0.7,alta,negativo
gm_78cbcd9377ccf1f9,Parque Arqueológico de Sacsayhuamán,Google Maps,en,1,2019-05-26T12:30:02.403Z,"This isn't a review on the site but the money grabbing that is going on, when going to see the site turns into having to buy a 70 soles combined site ticket (and that was the cheapest ticket available.) Forcing me to buy expensive packaged tickets for multiple archaeological/historical sites that i will not go to is money grabbing and nothing more, I would have happily bought a ticket to enter the site, whatever that would have been, but 70 soles?",negativo,costos,estrellas=1 | lex_neg:expensive | conector:but | estrellas_bajas,0.7,alta,negativo
gm_175e6d66cceb7c21,Santuario Arqueológico de Pachacámac,Google Maps,es,2,2022-07-03T01:55:21.563Z,"Justo lo visite un fin de semana, un domingo que fue primer domingo de junio. Grande fue mi sorpresa al saber que esos domingos son de entrada gratis. Cómo llegué con mi vehículo temprano pude entrar y estacionarme con facilidad, sin embargo me indicaron que podía hacer el recorrido en mi vehículo El camino tiene varias paradas para poder salir a ver las ruinas. Debo decir que todo sigue igual en cuanto al estado del complejo, pues yo esperaba que después de casi 10 años de haberlo visitado nuevamente al menos hubiesen podido mostrar la restauración del muro pintado. Tampoco me dejó muy satisfecho el recorrido por las afueras del templo pues no se puede apreciar nada, solo es darle una vuelta y mirar un muro de barro. Aunque me dijeron que por el temblor no dejaban ingresar pues podía haber quedado algunos adobes inestables Lo más rescatable es su museo de sitio donde tiene restos muy vistosos. También hay una cafetería un poco más caro que el promedio son los precios. Tenemos además la tienda de recuerdos. Y los servicios higiénicos están muy limpios y bien cuidados.",negativo,atractivos,"estrellas=2 | lex_neg:caro | conector:aunque,sin embargo | estrellas_bajas",0.7,alta,negativo
gm_175e6d66cceb7c21,Santuario Arqueológico de Pachacámac,Google Maps,es,2,2022-07-03T01:55:21.563Z,"Justo lo visite un fin de semana, un domingo que fue primer domingo de junio. Grande fue mi sorpresa al saber que esos domingos son de entrada gratis. Cómo llegué con mi vehículo temprano pude entrar y estacionarme con facilidad, sin embargo me indicaron que podía hacer el recorrido en mi vehículo El camino tiene varias paradas para poder salir a ver las ruinas. Debo decir que todo sigue igual en cuanto al estado del complejo, pues yo esperaba que después de casi 10 años de haberlo visitado nuevamente al menos hubiesen podido mostrar la restauración del muro pintado. Tampoco me dejó muy satisfecho el recorrido por las afueras del templo pues no se puede apreciar nada, solo es darle una vuelta y mirar un muro de barro. Aunque me dijeron que por el temblor no dejaban ingresar pues podía haber quedado algunos adobes inestables Lo más rescatable es su museo de sitio donde tiene restos muy vistosos. También hay una cafetería un poco más caro que el promedio son los precios. Tenemos además la tienda de recuerdos. Y los servicios higiénicos están muy limpios y bien cuidados.",negativo,costos,"estrellas=2 | lex_neg:caro | conector:aunque,sin embargo | estrellas_bajas",0.7,alta,negativo
gm_175e6d66cceb7c21,Santuario Arqueológico de Pachacámac,Google Maps,es,2,2022-07-03T01:55:21.563Z,"Justo lo visite un fin de semana, un domingo que fue primer domingo de junio. Grande fue mi sorpresa al saber que esos domingos son de entrada gratis. Cómo llegué con mi vehículo temprano pude entrar y estacionarme con facilidad, sin embargo me indicaron que podía hacer el recorrido en mi vehículo El camino tiene varias paradas para poder salir a ver las ruinas. Debo decir que todo sigue igual en cuanto al estado del complejo, pues yo esperaba que después de casi 10 años de haberlo visitado nuevamente al menos hubiesen podido mostrar la restauración del muro pintado. Tampoco me dejó muy satisfecho el recorrido por las afueras del templo pues no se puede apreciar nada, solo es darle una vuelta y mirar un muro de barro. Aunque me dijeron que por el temblor no dejaban ingresar pues podía haber quedado algunos adobes inestables Lo más rescatable es su museo de sitio donde tiene restos muy vistosos. También hay una cafetería un poco más caro que el promedio son los precios. Tenemos además la tienda de recuerdos. Y los servicios higiénicos están muy limpios y bien cuidados.",negativo,accesibilidad,"estrellas=2 | lex_neg:caro | conector:aunque,sin embargo | estrellas_bajas",0.7,alta,positivo
gm_6e72258d2f90fecf,Santuario Arqueológico de Pachacámac,Google Maps,es,2,2022-01-13T20:55:09.545Z,"no me gusto la verdad. fui con muchas expectativas, pero es cansado y un poco decepcionante, aunque parezca bien cuidado, no lo esta. lo interesante es que se encuentra al aire libre, pero tienes que preguntar si la parte del museo en si, esta disponible para poder ver todo lo hallado en el santuario arqueológico de pachacamac,si no consultas, así no este abierto te cobraran lo mismo.",negativo,atractivos,"estrellas=2 | lex_neg:decepcionante | conector:pero,aunque | estrellas_bajas",0.7,alta,negativo
gm_6e72258d2f90fecf,Santuario Arqueológico de Pachacámac,Google Maps,es,2,2022-01-13T20:55:09.545Z,"no me gusto la verdad. fui con muchas expectativas, pero es cansado y un poco decepcionante, aunque parezca bien cuidado, no lo esta. lo interesante es que se encuentra al aire libre, pero tienes que preguntar si la parte del museo en si, esta disponible para poder ver todo lo hallado en el santuario arqueológico de pachacamac,si no consultas, así no este abierto te cobraran lo mismo.",negativo,costos,"estrellas=2 | lex_neg:decepcionante | conector:pero,aunque | estrellas_bajas",0.7,alta,negativo
gm_6e72258d2f90fecf,Santuario Arqueológico de Pachacámac,Google Maps,es,2,2022-01-13T20:55:09.545Z,"no me gusto la verdad. fui con muchas expectativas, pero es cansado y un poco decepcionante, aunque parezca bien cuidado, no lo esta. lo interesante es que se encuentra al aire libre, pero tienes que preguntar si la parte del museo en si, esta disponible para poder ver todo lo hallado en el santuario arqueológico de pachacamac,si no consultas, así no este abierto te cobraran lo mismo.",negativo,limpieza,"estrellas=2 | lex_neg:decepcionante | conector:pero,aunque | estrellas_bajas",0.7,alta,negativo
gm_1c42435bf027400e,Santuario Histórico de Machu Picchu,Google Maps,en,1,2026-05-31T12:52:35.527Z,"Note that while the site itself is pretty, the logistics of getting tickets is very hard to plan for. Up until a few months ago you can get the following day ticket if you waited outside the ticket office before it open. Not sure exactly when it changed but instead of let’s say arriving in the evening in aguas calliente on day one getting a ticket on day two for day three to head to Machu Picchu, now you have to plan for an extra day on top of that. So day one you arrive in town, get tickets and the next two days are sold out, day two and three you wait in town day 4 you head to Machu Picchu. The ticket office is located in aguas calliente so you are essentially stuck there several days. The government is unreliable and may change their policy again. Making figuring out the timing exceptionally difficult if you haven’t bought Machu Picchu tickets online like many months ahead of time. Because of this, I do not advise buying nonrefundable airplane tickets or hotels or tours for any part of the vacation happening after Machu Picchu. In fact I would advise giving yourself 2 extra wiggle room days just to account for Machu Picchu scheduling uncertainty. Note that bus tickets to Machu Picchu from town are also only good for three days. So if you are getting a package from the rail, make sure that if you are forced to visit on day four, your ticket for the bus isn’t issued on the day you arrive to Machu Picchu town. Overall expect to spend around 1.5K for two people just to see Machu Picchu. Thats if you don’t have to do any last minute plane and hotel cancelations because of the ticket timing. Yes just for this one site. For the train tickets you don’t want to buy the return ticket until you have a Machu Picchu ticket. But will run you close to 500 dollars just for two people. Tour bus tickets hotels food etc…it all adds up. Once in town because now you are just there visit the museum ( forgot the name) for some knowledge on Machu Picchu. Bring some deet. the place has mosquitos as does the town. Overall it’s a one and done deal. The amount of time wasted and forced consumerism exploits the tourists a lot, and all these considerations really dampen the experience. Also they had expensive train tickets because of the duopoly. Spend 500 dollars for a 1.5 hour round trip for two on a train. Does that make sense? It was pretty, but most people don’t like to feel exploited. Especially with all the hoop jumping and the logistical corrections that had to take place because of their inconsistent ticketing system. Like Pompeii is also an ancient city. No exploitation there and it was a lot more enjoyable experience. Get in, see Pompeii, get out and then move on. You can’t do that here. One can’t help but feel all of it was orchestrated as a giant tourist trap. I don’t think there is any other place where you are forced to stay in a very isolated town for four days just so you can see a ruin.",negativo,atractivos,estrellas=1 | lex_neg:expensive | conector:but | estrellas_bajas,0.7,alta,negativo
gm_1c42435bf027400e,Santuario Histórico de Machu Picchu,Google Maps,en,1,2026-05-31T12:52:35.527Z,"Note that while the site itself is pretty, the logistics of getting tickets is very hard to plan for. Up until a few months ago you can get the following day ticket if you waited outside the ticket office before it open. Not sure exactly when it changed but instead of let’s say arriving in the evening in aguas calliente on day one getting a ticket on day two for day three to head to Machu Picchu, now you have to plan for an extra day on top of that. So day one you arrive in town, get tickets and the next two days are sold out, day two and three you wait in town day 4 you head to Machu Picchu. The ticket office is located in aguas calliente so you are essentially stuck there several days. The government is unreliable and may change their policy again. Making figuring out the timing exceptionally difficult if you haven’t bought Machu Picchu tickets online like many months ahead of time. Because of this, I do not advise buying nonrefundable airplane tickets or hotels or tours for any part of the vacation happening after Machu Picchu. In fact I would advise giving yourself 2 extra wiggle room days just to account for Machu Picchu scheduling uncertainty. Note that bus tickets to Machu Picchu from town are also only good for three days. So if you are getting a package from the rail, make sure that if you are forced to visit on day four, your ticket for the bus isn’t issued on the day you arrive to Machu Picchu town. Overall expect to spend around 1.5K for two people just to see Machu Picchu. Thats if you don’t have to do any last minute plane and hotel cancelations because of the ticket timing. Yes just for this one site. For the train tickets you don’t want to buy the return ticket until you have a Machu Picchu ticket. But will run you close to 500 dollars just for two people. Tour bus tickets hotels food etc…it all adds up. Once in town because now you are just there visit the museum ( forgot the name) for some knowledge on Machu Picchu. Bring some deet. the place has mosquitos as does the town. Overall it’s a one and done deal. The amount of time wasted and forced consumerism exploits the tourists a lot, and all these considerations really dampen the experience. Also they had expensive train tickets because of the duopoly. Spend 500 dollars for a 1.5 hour round trip for two on a train. Does that make sense? It was pretty, but most people don’t like to feel exploited. Especially with all the hoop jumping and the logistical corrections that had to take place because of their inconsistent ticketing system. Like Pompeii is also an ancient city. No exploitation there and it was a lot more enjoyable experience. Get in, see Pompeii, get out and then move on. You can’t do that here. One can’t help but feel all of it was orchestrated as a giant tourist trap. I don’t think there is any other place where you are forced to stay in a very isolated town for four days just so you can see a ruin.",negativo,costos,estrellas=1 | lex_neg:expensive | conector:but | estrellas_bajas,0.7,alta,negativo
gm_1c42435bf027400e,Santuario Histórico de Machu Picchu,Google Maps,en,1,2026-05-31T12:52:35.527Z,"Note that while the site itself is pretty, the logistics of getting tickets is very hard to plan for. Up until a few months ago you can get the following day ticket if you waited outside the ticket office before it open. Not sure exactly when it changed but instead of let’s say arriving in the evening in aguas calliente on day one getting a ticket on day two for day three to head to Machu Picchu, now you have to plan for an extra day on top of that. So day one you arrive in town, get tickets and the next two days are sold out, day two and three you wait in town day 4 you head to Machu Picchu. The ticket office is located in aguas calliente so you are essentially stuck there several days. The government is unreliable and may change their policy again. Making figuring out the timing exceptionally difficult if you haven’t bought Machu Picchu tickets online like many months ahead of time. Because of this, I do not advise buying nonrefundable airplane tickets or hotels or tours for any part of the vacation happening after Machu Picchu. In fact I would advise giving yourself 2 extra wiggle room days just to account for Machu Picchu scheduling uncertainty. Note that bus tickets to Machu Picchu from town are also only good for three days. So if you are getting a package from the rail, make sure that if you are forced to visit on day four, your ticket for the bus isn’t issued on the day you arrive to Machu Picchu town. Overall expect to spend around 1.5K for two people just to see Machu Picchu. Thats if you don’t have to do any last minute plane and hotel cancelations because of the ticket timing. Yes just for this one site. For the train tickets you don’t want to buy the return ticket until you have a Machu Picchu ticket. But will run you close to 500 dollars just for two people. Tour bus tickets hotels food etc…it all adds up. Once in town because now you are just there visit the museum ( forgot the name) for some knowledge on Machu Picchu. Bring some deet. the place has mosquitos as does the town. Overall it’s a one and done deal. The amount of time wasted and forced consumerism exploits the tourists a lot, and all these considerations really dampen the experience. Also they had expensive train tickets because of the duopoly. Spend 500 dollars for a 1.5 hour round trip for two on a train. Does that make sense? It was pretty, but most people don’t like to feel exploited. Especially with all the hoop jumping and the logistical corrections that had to take place because of their inconsistent ticketing system. Like Pompeii is also an ancient city. No exploitation there and it was a lot more enjoyable experience. Get in, see Pompeii, get out and then move on. You can’t do that here. One can’t help but feel all of it was orchestrated as a giant tourist trap. I don’t think there is any other place where you are forced to stay in a very isolated town for four days just so you can see a ruin.",negativo,accesibilidad,estrellas=1 | lex_neg:expensive | conector:but | estrellas_bajas,0.7,alta,negativo
gm_1f4570c7369280fd,Santuario Histórico de Machu Picchu,Google Maps,en,1,2026-05-03T19:04:26.582Z,"Yes it’s an impressive location, but nothing more than that. The whole visit is a cash grab: - extortionate prices to get to the site (Inca or Peru rail, plus the bus to the top) - they charge to use the bathrooms, yet they look and smell disgusting - our tour in English was terrible (tour guide was an old lady called Nohemi): half the time she was just walking silently telling us to either take pictures or take in the views. The historic information she gave was very basic, we had to continuously ask questions and still we were getting ambiguous or contradictory answers. At the end she had the audacity to ask for a tip! If you want a history lesson, go elsewhere. If you are after a hyped picture, you’re in the right place.",negativo,atractivos,estrellas=1 | lex_neg:terrible | conector:but | estrellas_bajas,0.7,alta,negativo
gm_1f4570c7369280fd,Santuario Histórico de Machu Picchu,Google Maps,en,1,2026-05-03T19:04:26.582Z,"Yes it’s an impressive location, but nothing more than that. The whole visit is a cash grab: - extortionate prices to get to the site (Inca or Peru rail, plus the bus to the top) - they charge to use the bathrooms, yet they look and smell disgusting - our tour in English was terrible (tour guide was an old lady called Nohemi): half the time she was just walking silently telling us to either take pictures or take in the views. The historic information she gave was very basic, we had to continuously ask questions and still we were getting ambiguous or contradictory answers. At the end she had the audacity to ask for a tip! If you want a history lesson, go elsewhere. If you are after a hyped picture, you’re in the right place.",negativo,costos,estrellas=1 | lex_neg:terrible | conector:but | estrellas_bajas,0.7,alta,negativo
gm_1f4570c7369280fd,Santuario Histórico de Machu Picchu,Google Maps,en,1,2026-05-03T19:04:26.582Z,"Yes it’s an impressive location, but nothing more than that. The whole visit is a cash grab: - extortionate prices to get to the site (Inca or Peru rail, plus the bus to the top) - they charge to use the bathrooms, yet they look and smell disgusting - our tour in English was terrible (tour guide was an old lady called Nohemi): half the time she was just walking silently telling us to either take pictures or take in the views. The historic information she gave was very basic, we had to continuously ask questions and still we were getting ambiguous or contradictory answers. At the end she had the audacity to ask for a tip! If you want a history lesson, go elsewhere. If you are after a hyped picture, you’re in the right place.",negativo,accesibilidad,estrellas=1 | lex_neg:terrible | conector:but | estrellas_bajas,0.7,alta,negativo
gm_418db51b1b4ebe9c,Santuario Histórico de Machu Picchu,Google Maps,en,2,2025-12-04T18:50:01.580Z,Amazing site but the processes and regulations are overly complicated and excessive. Also in total an incredibly expensive experience. Management here could benefit from a customer-first mindset.,negativo,atractivos,estrellas=2 | lex_neg:expensive | conector:but | estrellas_bajas,0.7,alta,negativo
gm_418db51b1b4ebe9c,Santuario Histórico de Machu Picchu,Google Maps,en,2,2025-12-04T18:50:01.580Z,Amazing site but the processes and regulations are overly complicated and excessive. Also in total an incredibly expensive experience. Management here could benefit from a customer-first mindset.,negativo,costos,estrellas=2 | lex_neg:expensive | conector:but | estrellas_bajas,0.7,alta,negativo
gm_460ad346851cd89e,Santuario Histórico de Machu Picchu,Google Maps,en,2,2024-03-19T16:36:44.338Z,"1) YOU CANNOT WALK BACK, OR REPEAT ANY PART OF YOUR CIRCUIT. There are staff watching and they will blow their whistle and shout at you if you try. We arrived in a downpour so we walked to some shelter and waited it out. When we tried to walk back on the circuit we had paid for, we were not allowed. It doesn't matter that it's not busy, you want to take photos or any other reason, they will not let you walk back, even 20m. Unfortunately this was not clear when we purchased the ticket so we missed a significant portion of our route :( Therefore I'd advise you to walk slowly and enjoy the views, because once you arrive at the exit, that will be the end of your time at macchu pichu. I feel the staff lack compassion since it was 7am and quiet at macchu pichu, and I didn't want it to rain. If they had a cafe inside at the beginning I'd have waited there, but you have to enter at your time slot so I was left in a downpour in my poncho. I'd paid for flights, accomodation, and so many buses and trains to be there. The staff didn't show any compassion for my situation and were curt. 2) TOILETS WILL COST YOU EXTRA ON TOP OF THE ENTRANCE FEE, AND BAGGAGE STORAGE. Which I also find ridiculous considering the entrance ticket is so expensive. Toilet S/2 and baggage is S/5. 3) YOU CANNOT ENTER BEFORE THE ENTRANCE TIME ON YOUR TICKET Something to do with the system they use. 4) DO NOT FLY A DRONE The staff have a walkie talkie system and respond very quickly. I don't know what the consequences are, but the people we saw were taken to the office. 5) DO NOT BOOK EARLY MORNING TIME SLOT IF YOU ARE VISITING IN WET/ SHOULDER SEASONS The clouds tend to hang low in the sky in the morning so you might not have the best view/ you might have to wait for clouds to clear. 6) YOU CAN BUY THE BUS TICKET FOR THE BUS UPWARDS ONLINE, BEFOREHAND (12 USD per ride) Just look for the one bus company that runs the route. I can't remember off the top of my head. You can also purchase them at the bottom and at the top, the process is quick and easy. Hope this helps :) I did route 1&2 and was happy with all the areas it covered.",negativo,atractivos,"estrellas=2 | lex_neg:expensive | conector:unfortunately,but | estrellas_bajas",0.7,alta,negativo
gm_460ad346851cd89e,Santuario Histórico de Machu Picchu,Google Maps,en,2,2024-03-19T16:36:44.338Z,"1) YOU CANNOT WALK BACK, OR REPEAT ANY PART OF YOUR CIRCUIT. There are staff watching and they will blow their whistle and shout at you if you try. We arrived in a downpour so we walked to some shelter and waited it out. When we tried to walk back on the circuit we had paid for, we were not allowed. It doesn't matter that it's not busy, you want to take photos or any other reason, they will not let you walk back, even 20m. Unfortunately this was not clear when we purchased the ticket so we missed a significant portion of our route :( Therefore I'd advise you to walk slowly and enjoy the views, because once you arrive at the exit, that will be the end of your time at macchu pichu. I feel the staff lack compassion since it was 7am and quiet at macchu pichu, and I didn't want it to rain. If they had a cafe inside at the beginning I'd have waited there, but you have to enter at your time slot so I was left in a downpour in my poncho. I'd paid for flights, accomodation, and so many buses and trains to be there. The staff didn't show any compassion for my situation and were curt. 2) TOILETS WILL COST YOU EXTRA ON TOP OF THE ENTRANCE FEE, AND BAGGAGE STORAGE. Which I also find ridiculous considering the entrance ticket is so expensive. Toilet S/2 and baggage is S/5. 3) YOU CANNOT ENTER BEFORE THE ENTRANCE TIME ON YOUR TICKET Something to do with the system they use. 4) DO NOT FLY A DRONE The staff have a walkie talkie system and respond very quickly. I don't know what the consequences are, but the people we saw were taken to the office. 5) DO NOT BOOK EARLY MORNING TIME SLOT IF YOU ARE VISITING IN WET/ SHOULDER SEASONS The clouds tend to hang low in the sky in the morning so you might not have the best view/ you might have to wait for clouds to clear. 6) YOU CAN BUY THE BUS TICKET FOR THE BUS UPWARDS ONLINE, BEFOREHAND (12 USD per ride) Just look for the one bus company that runs the route. I can't remember off the top of my head. You can also purchase them at the bottom and at the top, the process is quick and easy. Hope this helps :) I did route 1&2 and was happy with all the areas it covered.",negativo,costos,"estrellas=2 | lex_neg:expensive | conector:unfortunately,but | estrellas_bajas",0.7,alta,negativo
