review_uid,accesibilidad,alojamiento,atencion_servicio,atractivos,costos,gastronomia,limpieza,seguridad,destination,pool,stars,text_clean
gm_01ea8be6da2cbad9,ausente,ausente,neutro,positivo,neutro,ausente,ausente,ausente,Santuario Arqueológico de Pachacámac,A_representativo,5,"Muy bonito el museo con sus muestras. Existe un servicio de bicitour, el cuál opté por el colon mi compañero. Costo 10 soles. El guía del bicitour lo encontré comprometido con su trabajo. Tuvimos una entretenida plática."
gm_01f7fbfa0ebb756d,ausente,ausente,ausente,positivo,ausente,positivo,ausente,ausente,Líneas y Geoglifos de Nasca y Palpa,A_representativo,5,"Es un lugar enigmático, tiene una energía especial, místico, de buen clima y para disfrutar de una gastronomía muy buena."
gm_0242f2259203a46f,neutro,ausente,negativo,negativo,negativo,ausente,ausente,ausente,Parque Arqueológico de Sacsayhuamán,B_minado,1,"70 Soles ($22 USD) Foreigner Entrance Fee. Here you will be able to see governments continue to separate humans by ethnicity in the form of an Entrance Pass. The big issue with Saqsaywaman is the park does not offer a Single Entrance Pass. Your entrance fee is buying 4 Park Passes valid for One Day Only! I was on a bicycle riding around the World. It was around 2.30pm when I visited, so I would not be able to take advantage of seeing any other parks today. The park staff said I could buy a more expensive 10 Day Pass. There are No Informational Signs with information other than a name as you tour the park. I visited on a Sunday, and Saqsaywaman feels more like a place you come to play in the afternoon with your family. Kids and adults were running and climbing all over the ""ruins"". The Park Staff didn't know where I should store the bicycle while I visited the park. The Park Staff suggested parking the bicycle in the parking lot with the cars. Don't look for the park staff to welcome you, or assist your experience of Saqsaywaman in any way. Saqsaywaman has a nice overlook of Cusco. Or you can visit the Statue of Christ or the San Cristobal Church for similar overlooks of Cusco if you do not wish to buy into the 4 Park Pass scheme."
gm_02e1d1a8a1711734,negativo,ausente,ausente,negativo,ausente,ausente,ausente,ausente,Valle del Colca,B_minado,1,Boring knee breaking downhill trek. The same view the whole time. Not my style..
gm_0317192753737f2b,neutro,ausente,neutro,negativo,ausente,ausente,ausente,ausente,Museo de Sitio Huaca Pucllana,B_minado,2,"I wished I had read the review before going to this site. Since I am in Lima with local, I did not bother researching, which resulted in rather disappointing experience. When you walk in, you have to wait for a guide. You cannot roam alone. We were told the next tour will start in 20 min later when we entered the site. We waited close to 30 min when the tour started. I asked if there is an English tour, and the response was 20 min later. I wish there was a set time so we did not have to sit and wait doing nothing. I decided to take the Spanish tour with my limited Spanish. I read this place up in Wiki and a few other websites night before. It is a cool place and had a great view on the top. I could not understand the majority of things guide said, and I was roaming alone among the groups. When the tour was done, there were about 5 guides sitting around there and doing nothing. I was thinking where were they before? Maybe night tour is much more popular, and all of them were gearing towards the night tour. Overall, I was disappointed at the experience."
gm_0330d8df69a803e3,ausente,ausente,ausente,neutro,ausente,ausente,ausente,ausente,Santuario Arqueológico de Pachacámac,B_minado,3,"No me pareció la gran cosa, pierdes medio día en ir y volver. No está mal si eres fan de las culturas pre-hispanas pero es que tan poco se ve tanto."
gm_0344722047567999,ausente,ausente,ausente,ausente,ausente,ausente,positivo,ausente,Complejo Arqueológico Chan Chan,A_representativo,3,"En 23 años que vuelvo a visitarlo, y casi no a cambiado, el lugar es pequeño, por lo general muy ordenado y limpio."
gm_0388d5b11aea241d,ausente,ausente,positivo,positivo,ausente,ausente,ausente,ausente,Ciudadela de Kuélap,A_representativo,5,"La experiencia es algo impresionante, las telecabinas es una prueba de vértigo y adrenalina; con una vista de 360 grados. Kuelap ruinas es un lugar fabuloso y espectacular. Tomense el tiempo de mirar cada deyalle. Les recomiendo que busquen toda la información y vayan sin guía por el parque arqueológico. Porque los guías avanzan muy rapido. Totalmente recomendable"
gm_03a2a4e530cb3471,ausente,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Parque Nacional Huascarán,A_representativo,5,Fue muy hermoso huaraz pero lastimosamente ya el pastoruri dejara de existir en unos 5 a 6 años mas y ya al final pude visitar la tierra donde nacieron mis abuelos ancachs pomabanba(chuyas)
gm_03b0436ffab2c4ee,ausente,ausente,ausente,positivo,ausente,ausente,positivo,ausente,Circuito Mágico del Agua,A_representativo,4,For S/4 it was a fun activity for groups. Park was clean and meticulously maintained. The light show is scheduled so take note of that. Entry is at Puerta 3 or gate 3. My kids enjoyed the water tunnel the most.
gm_03f51772231c7334,ausente,ausente,positivo,positivo,neutro,ausente,ausente,ausente,Santuario Arqueológico de Pachacámac,A_representativo,5,Parte de la preinca de Perú. Muy bueno nuestro guía Marco. Los templos del Sol y la Luna muy bien recuperados. Excelente lugar de interés histórico.
gm_0409f65fe7606fd8,neutro,ausente,ausente,neutro,positivo,ausente,ausente,ausente,Santuario Histórico de Machu Picchu,B_minado,4,"A once and a lifetime experience that should not be missed. However, the long lines and complex process of buying bus tickets was very stressful. Also, being rushed in Machu Picchu was very frustrating. Our ticket said good for 6 hours, but when we we entered the area to climb the Waynapicchu Mountain Circuit 3A they told us the mountain would close at noon and we would need to make it to the top by then. There was an official at the top enforcing this timing."
gm_047653322831cd05,ausente,positivo,neutro,positivo,ausente,ausente,ausente,ausente,Complejo Arqueológico Chan Chan,A_representativo,5,"Una experiencia inolvidable, pocas veces visita en nuestro país. Siempre será mejor ir acompañado de un guia turístico, los conocimientos que tienen sobre el lugar ayudarán a entender mucho mejor el valor de todo lo que se expresa en el museo de sitio. Pero lo que se verá presencialmente en la zona arqueológica no tiene nombre. Me quedé con la boca abierta y de hecho lo que haré será indagar más sobre la increíble cultura Chimú."
gm_04b1cbc5d7ca1a68,positivo,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Santuario Histórico de Machu Picchu,B_minado,5,"What an amazing place and so grateful to have visited it after doing the Salkantay Trek. It definitely pays out to be the first one to enter this place. Try to get to the first viewpoint asap and you will be able to enjoy the view without any people. Wild lamas are the only other tourists. After an hour, the whole city is filled with people and you’ll have to queue. Make sure to visit the city at the end, once you get there you are not allowed to go back."
gm_04ba130dfa129cf7,ausente,ausente,neutro,neutro,ausente,ausente,ausente,ausente,Sitio Arqueológico de Ollantaytambo,A_representativo,5,"Absolutely incredible place. We visited sacred Valley over 3 days before got to Machu Picchu. Gave us a better perspective regarding the Incas. Also got a guide for this place, able to understand everything more."
gm_053b52590565abb2,ausente,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Parque Nacional Huascarán,B_minado,5,"Hermoso, toda una atracción para los Peruanos y para todo el mundo, no verla o visitarla sería un error, que esperas, ven porque te estamos esperando. Saludos."
gm_0542c238d1cf39bc,ausente,ausente,ausente,positivo,ausente,ausente,ausente,neutro,Catarata de Ahuashiyacu,A_representativo,5,"Agradezco a Dios 🙏 por tanto 🤲💃🤲Una de las maravillas de la naturaleza cerca a la cuidad, quede feliz, y fascinada de tanta belleza 🤲💃🤲 cumplió mi expectativa al máximo ✨💃✨ gracias 🙏🙏🙏"
gm_0596101e009cadad,ausente,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Huacas del Sol y de la Luna,B_minado,3,Es un lugar histórico bonito para conocer y aprender muchas cosas una gran experiencia q viví con mi hija
gm_059d8272f1991bd4,ausente,ausente,positivo,positivo,ausente,ausente,ausente,ausente,Santuario Arqueológico de Pachacámac,A_representativo,5,"What an amazing place! I didn't make it to Machu Picchu this trip, but this little sidebar on our way to Lunahuaná was absolutely stellar. The museum is incredibly informative and the ruins have signs that describe the area in good detail, and both Spanish and English, for the most part. Only a few signs were Spanish only. This was a wonderful experience, and I highly recommend it."
gm_0603d9e1aa26af9f,ausente,ausente,neutro,positivo,ausente,ausente,ausente,ausente,Museo Tumbas Reales del Señor de Sipán,A_representativo,5,Muy interesante y buen organizado las muestras simuladas y las representaciones de la cultura de Sipan
gm_060afc311521e481,ausente,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Complejo Arqueológico Chan Chan,B_minado,1,Es bien educativo pues allí se observa la artesanía tanto en arcilla plata y oro eran buenos artesanos
gm_060df693cf787513,ausente,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Líneas y Geoglifos de Nasca y Palpa,A_representativo,5,"Experiencia única, extrema para quienes sufren del estómago por las vueltas que da la avioneta pero imperdible"
gm_0611d2aac60fecf9,ausente,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Catarata de Ahuashiyacu,B_minado,3,"Esperaba algo mas espectacular, Tingo María tiene iguales recursos, falta que le den la importancia que se merece."
gm_0621e2a562918c21,ausente,ausente,ausente,negativo,ausente,ausente,ausente,ausente,Complejo Arqueológico Chan Chan,B_minado,5,"La visita permite entender la cosmovisión de los antiguos mochicas. En las paredes de esta ciudadela esta grabado el valor del mar, los peces, aves y agua. Se aprecia aún un gran reservorio valioso recurso en una zona árida."
gm_062bfa6a91e25dd7,ausente,ausente,ausente,positivo,positivo,positivo,ausente,ausente,Catarata de Ahuashiyacu,B_minado,5,"Espectacular, de entrada su maloca en donde encontrarás una agradable variedad de platos típicos (el SURI es de locos), y seguido está su agua heladita, ideal para relajarse."
gm_0633618036dce4fd,ausente,ausente,positivo,ausente,neutro,neutro,ausente,ausente,Líneas y Geoglifos de Nasca y Palpa,B_minado,4,"You can go in a plane if you pre-arrange or just use the tower for like 6 soles to see a few of the lines. Not much to say, there are lines in the dessert. A good guide can help explain a bit more about them than doing this solo."
gm_064715397cd9864b,ausente,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Reserva Nacional de Paracas,A_representativo,5,"Lugar bonito y acogedor, a quien le guste la playa le va encantar, muy recomendable al igual que la playa el raspón que está casi al lado."
gm_0662d4e1d52c9e52,neutro,ausente,ausente,positivo,neutro,ausente,ausente,ausente,Santuario Histórico de Machu Picchu,B_minado,5,"TICKETS: BOOK TICKETS AT LEAST 2.5 MONTHS BEFORE. I’m not joking, in April we couldn’t book our tickets for May visit, that’s why we had to go to Aguas Calientes one day before our date via the earliest train to be ones of 500 people who can buy the tickets for the next day (it’s only one available option to have tickets if you can’t buy them online because they are sold out). So, it’s possible, but you have to wake up extremely early. PLACE: of course, Machu Picchu is beautiful! It’s a definitely must-visit point in Peru."
gm_067ac11895345a97,ausente,ausente,ausente,negativo,ausente,ausente,ausente,ausente,Ciudadela de Kuélap,A_representativo,5,This place is a special place. Completely overrated. A must if you're in the area.
gm_06e259036ef6c2db,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,Parque Nacional Huascarán,B_minado,3,Wonderful day out with a good climate hoping to go back there and enjoy the Flora and Fauna.
gm_079cfbf7a1f54f07,negativo,ausente,ausente,positivo,negativo,ausente,positivo,ausente,Santuario Histórico de Machu Picchu,B_minado,5,Amazing Incas city located on Macu Piccu mountain. Well preserved ruins and stunning views which are a dream of many people to see. You can reach this archeological wonder walking from Agus Calientes city with the trekking path or you can take a bus from Aguas Calientes. The entrance tickets need to be bougt few monts in advance as this place is really crowded!
gm_07cc4ced21224c2e,neutro,ausente,positivo,positivo,ausente,ausente,ausente,ausente,Santuario Histórico de Machu Picchu,B_minado,5,"Very unique and beautiful, however, extremely busy with tourists daily with long wait lines at the bus to take you up the hill where the site is. Don’t book a guide, just enjoy the site at your own pace."
gm_07e6bc8ab2970e78,neutro,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Catarata de Ahuashiyacu,B_minado,3,Bonito Lugar. Me defraudó cuando llegue y no era muy grande el afluente acumulado
gm_07fd6a880f0769af,ausente,ausente,ausente,positivo,positivo,ausente,ausente,ausente,Santuario Histórico de Machu Picchu,A_representativo,5,Machu Picchu had been on my bucketlist for 3years finally got the chance to visit October 2021. All I can say is that the pictures dont do justice the place absolutely beautiful. So much history learn about. The weather was great no fog/rain. If it's on your list definitely go see it. Worth it!!
gm_083d430cac319aa0,negativo,ausente,ausente,neutro,ausente,ausente,ausente,ausente,Santuario Arqueológico de Pachacámac,B_minado,4,"El lugar espectacular, sin embargo estaba cerrado el museo de sitio. Eso es muy malo."
gm_089562863a39f49b,neutro,ausente,neutro,positivo,ausente,ausente,ausente,ausente,Complejo Arqueológico Chan Chan,A_representativo,5,"The ruins of Chan Chan are definitely worth a visit! Located between Trujillo and Huanchaco it is a quick trip here. Starting with the museum where there are original pieces of pottery and other cultural pieces, then you can either walk or take a ride for around s/5 to the ruins of Chan Chan. I personally would recommend getting a tour guide as there is alot to learn from these 2000 year old ruins. However, it's also nice having a wander round as these ruins are so spectacular."
gm_08a18e49164d45d8,ausente,ausente,neutro,ausente,positivo,ausente,ausente,ausente,Museo de Sitio Huaca Pucllana,B_minado,3,"They have regular guided tours in Spanish and English which I think is the only way to visit the site. I did the English tour, because it was the next on the agenda, however our guide seemed very unmotivated, our group size was very big and we had to rush through because a lot of other groups were right behind us. So overall an alright experience… Price of 15 Soles per person is quite cheap though I reckon."
gm_08cbb584e8d25c83,neutro,ausente,positivo,ausente,neutro,ausente,ausente,ausente,Reserva Nacional de Paracas,B_minado,3,"Todo bien excepto por el cobro de la sombrilla el cobro es de S/. 20 soles ?? y cuando llegamos nunca vimos al Sr. que da se supone esta atento a darte ese servicio para abrir la sombrilla ya que las encuentras cerrada, estuvimos 3 hras y nosotros como es correcto nos acercamos a su lugar para realizar el pago y nos dijo es el servicio que se cobra, pero de que habla si nosotros mismas nos servimos ;O( malaso."
gm_08cd3520b3ac4d54,ausente,ausente,ausente,positivo,ausente,ausente,positivo,ausente,Reserva Nacional de Paracas,A_representativo,5,"Es una playa pequeña en medio de la Bahía y protegida por una punta generando una playa de arena fina y sin olas. Tiene una hermosa vista de la Bahía de Paracas. La playa es muy limpia, el agua es cristalina pero fría como toda la costa peruana."
gm_08d0143edde09f96,positivo,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Catarata de Ahuashiyacu,A_representativo,5,"Hermoso lugar en camino a Tarapoto, bonito paisaje m, y se hace una caminata de 15 minutos aprox. subiendo gradas, hay bodegas al inicio y al llegar a la catarata. Se puede nadar en la poza. Muy recomendable"
gm_08da65ad69280297,ausente,ausente,positivo,positivo,ausente,ausente,ausente,ausente,Complejo Arqueológico Chan Chan,A_representativo,5,"Chan Chan museum is a very interesting place full of history, all the things inside are really protected but in spite of that, you can take photos and also there are special digital platforms to take photos of you as a memory and then share them onto your mobile. The attention there is excellent, everybody is so gentle and polite and make the visit pretty comfortable and unique. Highly recommended 😁"
gm_0903c30b8869ab85,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,Circuito Mágico del Agua,A_representativo,5,It is a good place to visit in Lima or a weekend in family.
gm_0925afae57ab5a00,ausente,ausente,ausente,neutro,ausente,neutro,ausente,ausente,Museo de Sitio Huaca Pucllana,A_representativo,5,"Worth every minute, with bilingual guides the experience is a trip back in the history of the pre-inka culture in Lima. The Huaca is an artificial pyramid built by ancient ones. It's restaurant is also a we'll know culinary delight. Don't forget to go into the mini museum at the entry. Have seen the Huaca restored over the last 20 years, half way to a full restoration that will take 15 more years you can see archeologists at work, and in summer months there are classes for kids."
gm_09744a0fcaa138f0,ausente,ausente,ausente,positivo,ausente,ausente,positivo,ausente,Catarata de Ahuashiyacu,A_representativo,5,"Es un lugar maravilloso, divino, con el agua muy cristalina y con un baño sales renovada. Enamorada de las Cataratas de Ahushiyaco. Regresaré 😍"
gm_09ad792eb288166c,ausente,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Reserva Nacional de Paracas,A_representativo,5,"Algo realmente hermoso, naturaleza en su mejor face, increíble el sonido del viento sobre el paso entre los árboles y el perfume de mil plantas, un aire puro y fresco que te seguía regalándole mil aromas, un regalo de buen gusto para disfrutar"
gm_0a10b98b9742c974,ausente,ausente,positivo,positivo,ausente,positivo,ausente,ausente,Museo de Sitio Huaca Pucllana,A_representativo,4,"Nice dining at the historical place. The food was good. Well cooked, plated, and served. The taste was exotic. We tried dishes made of local ingredients. Quinoa cheese ball was good. I liked it. The Guinea pig appetizer was so-so. The fatty part was little too chewy for me. If you like fried fatty food you may disagree on that. The fish was nice. I thought if the fish meat was little thinner, it would have tasted better with the quinoa crust. The green bean sauce was nice but again little too blend. I think it's a good place to try out. Staffs are friendly and saw many locals. Once was probably good for us travelling people."
gm_0ade8a806731f10d,neutro,ausente,positivo,positivo,ausente,ausente,ausente,ausente,Santuario Histórico de Machu Picchu,B_minado,5,"Incredible experience! Our guide, Jordan, was knowledgeable, and really tailored his tour to our interests. We took the Inca Bridge option, and was so pleased with how little people were on the trail. We got to see more of the orchids, insects ( especially the butterflies) and hummingbirds up close. The city of Machu Pichu was really impressive! At first it seemed like a lot of people, but by the time we got back from the Inca Bridge, most of them were gone. So it was not crowded. We were able to get stunning photos even in the low season! It did rain closer to the end of our tour, but not a lot, and we were prepared for it. Bring a rain jacket, and some waterproof pants, if you can. A hat also helps. That's if you're going during the rainy season. No umbrellas or selfie sticks are allowed."
gm_0b482a21d65948d7,negativo,ausente,ausente,ausente,ausente,ausente,ausente,negativo,Valle del Colca,B_minado,4,"It is a long (but not particularly dangerous) drive there and back, particularly if the tour bus makes stops at the hot springs. The canyon is not as vibrant as the Grand Canyon, but it is the second deepest in the world (after Cotahuasi). There are quite a number of impressive condors each morning."
gm_0be5503a85a52234,ausente,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Catarata de Ahuashiyacu,B_minado,3,"Maravilloso pero no le gana a mi Velo de la novia en Pucallpa, provincia de Padre Abad"
gm_0c7f9198aa4af0dc,ausente,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Reserva Nacional de Paracas,A_representativo,5,Hermosa playa como siempre...mucha vida en el mar visible... Delfines.. en Noviembre mucho viento...
gm_0cde24d0f5d9f2b8,positivo,ausente,ausente,positivo,ausente,positivo,negativo,ausente,Museo de Sitio Huaca Pucllana,A_representativo,3,Nice place but too much dust and the sun from Lima can cause you a sunburn very bad to the skin. Take with you an umbrella before you go. It should be covered with trees or something. Also watching the people eating there in a vip restaurant that is inside does not feel that good while taking the walk. Also when there are too many children they play with the dust and throw it at you. There is too much dust or sand they have put there on porpouse. It not that necessary. I really don't think is original.
gm_0cffc5c06be8cf21,ausente,ausente,positivo,negativo,ausente,ausente,ausente,ausente,Santuario Arqueológico de Pachacámac,A_representativo,5,"Excelente organización. Una sugerencia, podrían implementar zona de comidas más amigable, la actual no me gustó"
gm_0d276c46f6f2289a,neutro,ausente,positivo,positivo,neutro,positivo,ausente,ausente,Parque Nacional Huascarán,A_representativo,5,"Un lugar inexplicable, con una vista maravillosa, plagada de tanta magestuosidad que sinceramente recomiendo de corazón. Hay muchísimas opciones de como llegar, puede ser con avión o con carro, si ya eres nacional pues conocerás algo más. También hay de muchísimos precios. Para añadir, se puede ir en familia pero lleven ropa abrigados ya que sí hace bastante frío; la comida me pareció delicioso, aquello que llaman ""emoliente""... Ufff, y de mañana ni que hablar... Podría pasarme horas hablando de lo maravilloso de ese lugar y en sí todos los lugares que hay, pero les invito a vivirlo por su cuenta que vale la pena al mil."
gm_0d43d31ac41c8fb5,ausente,ausente,neutro,positivo,ausente,ausente,ausente,ausente,Ciudadela de Kuélap,A_representativo,5,"Impresionante vale la pena visitar y recorrer la ciudadela Kueplap. La empresa francesa de las telecabinas*poma* seria y segura, con personal altamente calificado"
gm_0dd20b70afeaafa1,ausente,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Catarata de Ahuashiyacu,A_representativo,5,"Lugar muy bonito, algo pequeño, limitado en espacio, muy recomendado para ir con los amigos y la familia, se respira un ambiente natural."
gm_0ddb6bdf6ab334f3,ausente,ausente,neutro,positivo,ausente,ausente,ausente,ausente,Valle del Colca,A_representativo,3,"El Cañón del Colca es extraordinario, el Oasis hermoso, pero los Tours turísticos son demasiado negligente, debería haber mayor control y fiscalización para esos servicios"
gm_0deb2309ea1c375f,ausente,ausente,ausente,positivo,positivo,ausente,ausente,ausente,Parque Arqueológico de Sacsayhuamán,A_representativo,2,Was ok . If you went or planning on going to machu picchu is not really worth it considering the price of the entry 70 soles per person !!!! More than the rainbow mountain?? Seriously?
gm_0e2de1f215ac1a7d,ausente,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Huacas del Sol y de la Luna,A_representativo,4,Interesante. Excelente para llevar a los niños para que aprendan más de nuestra historia.
gm_0e77a2d5279d64cd,ausente,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Reserva Nacional de Paracas,B_minado,2,La playa es muy bonita pero es solo eso y suele estar repleta y muy pequeña
gm_0ea109a6c41b06f1,negativo,ausente,positivo,positivo,ausente,ausente,ausente,ausente,Museo Tumbas Reales del Señor de Sipán,B_minado,3,"El lugar es fresco y agradable por dentro a pesar de que está muy cerrado y oscuro, pero no dejan entrar con cámaras o celulares, hay personas a las que nos gustaría llevarnos una foto de recuerdo, además los guapos son muy desatentos pero si el lugar es interesante y bonito"
gm_0ea1d55cec0e98b9,ausente,ausente,ausente,positivo,negativo,ausente,positivo,ausente,Circuito Mágico del Agua,B_minado,4,This is a really nice place in Lima to visit. You can spend hours here. Especially place to visit in the evening. The music fountain show is a good one to watch. There are a variety of fountains in the park. The park is very clean and neat. The place is not very far from the miraflores area. It’s worth s visit. The ticket is not very expensive. There are quite a few people visiting.
gm_0eb121d05cb53fba,ausente,ausente,ausente,positivo,positivo,ausente,ausente,ausente,Complejo Arqueológico Chan Chan,A_representativo,5,"Bonito lugar. se aprende un monton, eso sí, los guías no están incluido en la entrada, tienen un costo de 100 soles. Es recomendable agruparse con otras personas para el pago."
gm_0eb4dd18c038aef2,ausente,ausente,ausente,neutro,ausente,ausente,ausente,ausente,Líneas y Geoglifos de Nasca y Palpa,A_representativo,5,"Un lugar al que toca visitar almenos una vez en la vida, ofrecen sobrevuelos una de 40-45 minutos y otra de 90 minutos, recomiendo el primero con 40 min es suficiente."
gm_0ed1934dc02eaf16,ausente,ausente,ausente,positivo,positivo,ausente,ausente,ausente,Complejo Arqueológico Chan Chan,B_minado,4,"Muy buen museo precio cómodo incluye la entrada a la ciudadela de chan chan 10 soles, escolares 1 sol."
gm_0f38a394388ebe73,ausente,ausente,ausente,neutro,ausente,ausente,ausente,ausente,Complejo Arqueológico Chan Chan,A_representativo,4,"Museo pequeño, con material interesante y que complementa lo que los turistas han podido observar en las ruinas. Eso sí, sugiero primero ir a las ruinas."
gm_0fd5efcfa863d590,ausente,ausente,ausente,positivo,ausente,ausente,ausente,ausente,Parque Nacional Huascarán,A_representativo,5,"Hermoso lugar muy recomendable para visitarlo, es una lastima que ahora solo quedan rastros de lo que era el gran nevado hace 10 o 15 años y debemos verlo, visitarlo para que nos concientizemos de lo que esta sucediendo con el cambio climatico por culpa de la contaminacion."
gm_10055d2963de0e39,ausente,ausente,ausente,positivo,ausente,ausente,neutro,neutro,Complejo Arqueológico Chan Chan,B_minado,3,"Un lugar impresionante, se siente la historia en cada rincón; aunque se nota que necesita más cuidado y mantenimiento."
