review_uid,destination,source,language_review,stars,publishedAtDate,text_clean,pool,atractivos,costos,seguridad,accesibilidad,limpieza,atencion_servicio,gastronomia,alojamiento
gm_cfbe9963c16d4634,Catarata de Ahuashiyacu,Google Maps,es,4,2023-01-18T03:19:29.897Z,"Fuimos a mediados de enero y nos agarro una lluvia suave que hizo el camino diría yo más agradable, tomamos un tour en los alrededores de la plaza de armas de tarapoto, llegamos al parque y esperamos cerca de 30 minutos por nuestro turno para ingresar, solo podemos estar 1 hora, se hace una caminata de unos 10 minutos antes de llegar a la catarata, el camino está bien señalado y es de fácil acceso, nos tomamos fotos junto a la catarata e ingresamos rápidamente a pesar de la lluvia y lo helada del agua para la foto. Lugar recomendado.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_456930beb7d92430,Catarata de Ahuashiyacu,Google Maps,en,4,2016-11-26T23:10:30.081Z,"Really nice and close to the city. Easy to reach, nice to jump into the water on the hot day",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_b64d6c6a424db0e8,Catarata de Ahuashiyacu,Google Maps,es,5,2020-02-22T19:17:13.074Z,"Toda la atención de primera, un lindo lugar y la comida muy buena 😀",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_deadd655464718ef,Catarata de Ahuashiyacu,Google Maps,es,5,2021-08-05T16:23:16.155Z,"Muy relajante, super hermosa, es lo mejor de la naturaleza, para darse un chapuzón y tomarse muchas fotitos .",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_4128e88bc3b925d2,Catarata de Ahuashiyacu,Google Maps,es,4,2021-11-08T12:28:18.022Z,"Muy bonita, lo malo es qué hay mucha gente y no se pueden hacer muchas tomas ya que todos tienen que tomarse.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_dc1c5c6c90c6b5c7,Catarata de Ahuashiyacu,Google Maps,en,5,2019-09-22T20:26:13.950Z,"Beautiful waterfall, hike us easy, well maintained, paved with handrails in spots that could be tricky. Lots of steps, not too steep but if you have problems with your knees you will just go a little slower.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_7013e9207318f26f,Catarata de Ahuashiyacu,Google Maps,es,3,2015-03-26T21:49:44.022Z,"Bonito Lugar para conocer cerca a Tarapoto, donde la naciente de un río en las alturas del cerro escalera forma la caída de un chorro que da origen al río Ahuashiyacu. Bañarse en estas aguas frescas al amanecer es un buen relajante para iniciar nuevamente. Visítenlo.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_23bc24deee977c0f,Catarata de Ahuashiyacu,Google Maps,es,4,2016-12-18T13:55:00.766Z,Super bonito la entrada es barata y esta bien mantenido /podria tener mas cambiadored,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_b30d76f7789873bc,Catarata de Ahuashiyacu,Google Maps,es,5,2020-02-16T20:34:32.914Z,"Maravilloso. Recomiendo llevar protector para celular contra agua, si es que se van a tomar fotos",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_ae9d7ba607844b85,Catarata de Ahuashiyacu,Google Maps,es,5,2020-11-23T22:01:05.493Z,"Un lugar increíble que tienen que conocer sin dudar, una caída de agua espectacular, no es tan ondo, la temperatura del agua esta en su punto ni tan fría ni tan caliente, perfecto para ir en familia, están dejando entrar a niños la entrada cuesta 10 soles y tiene duración de 1 hora en el lugar. En el mismo lugar puedes entrar a conocer la catarata golondrina o llegamos allá pero ahí dentro del lugar estar también.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_8626e51e0414415d,Catarata de Ahuashiyacu,Google Maps,es,5,2019-01-21T20:00:42.538Z,"Un !Ugarte espectacular, lindo por donde vayas. El trato del personal que te hace la movilidad siempre amables. Muy atentos a las preguntas... Dentro de las cataratas tu mismo eres, nadie te guía, no te dan folletos. Es turismo vivencial 100%",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_9a4a7b3ae76b5fe5,Catarata de Ahuashiyacu,Google Maps,es,5,2025-10-29T23:06:37.592Z,"Muy bonito lugar, cerca a Tarapoto. Se puede bañar en la poza de la catarata.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_ec39fd15d7716947,Catarata de Ahuashiyacu,Google Maps,es,5,2026-01-20T07:25:55.870Z,"Bonito lugar, de preferencia lleven repelente por la cantidad de mosquitos y zancudos que hay.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_eeee1366859b48e4,Catarata de Ahuashiyacu,Google Maps,es,5,2022-03-08T16:55:02.471Z,Muy bonito sus paisajes y la catarata excelente para conocer y disfrutar de lo nuestro esto es en Tarapoto Perú,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_fbfc6e08407a7cc0,Catarata de Ahuashiyacu,Google Maps,es,3,2018-11-06T17:55:32.310Z,"Hermosa catarata, trayecto corto y agua helada. El paseo termina normalmente al mediodía por la lluvia.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_09744a0fcaa138f0,Catarata de Ahuashiyacu,Google Maps,es,5,2022-03-29T08:53:41.983Z,"Es un lugar maravilloso, divino, con el agua muy cristalina y con un baño sales renovada. Enamorada de las Cataratas de Ahushiyaco. Regresaré 😍",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_46f00f18e4d84334,Catarata de Ahuashiyacu,Google Maps,es,5,2025-02-16T15:01:12.619Z,"Bonito lugar con la naturaleza, llevar repelente hartos Mozquitos, de preferencia llamar por que dicen que hay días que hay lluvias fuertes y la catarata esta no accesible y no puedes ingresar por seguridad y cierran todo el dia",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_12c81cd75066683f,Catarata de Ahuashiyacu,Google Maps,es,5,2025-01-12T20:19:37.517Z,"El lugar 10/10, hay espacio para estacionar, la entrada cuesta 10 soles (6soles si eres del pueblo) el agua es un poco fría pero muy buena, de la pista a la poza serán 5minutos aproximadamente de caminata (son escalones)",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_ef432b6edfe37d6c,Catarata de Ahuashiyacu,Google Maps,es,5,2022-10-18T13:03:24.995Z,"La atracción es bella, la catarata es linda el paisaje es precioso pero nuevamente la afluencia hace que sea tedioso para entrar tienes que compartir la misma escalera con las personas que están de salida y muchas no son muy amables sin importar que vayas con niños o mayores de edad muchas veces empujan, las escaleras son angostas... Por lo demás nos dieron solo una hora para visitar el sitio lo cual me parece bien es más que suficiente para conocerla y tomarse fotos. La entrada está 10 soles y los niños menores de 5 años no pagan ✌️... Afuera venden comida y puedes esperar tranquila para entrar, adentro también venden comida pero es un poco más caro, aunque si eres ahorrador como yo compras tus botellas de agua en el mercado al por mayor y te dura el tiempo de la visita 😉",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_87be0c5d0f976006,Catarata de Ahuashiyacu,Google Maps,es,5,2025-09-22T14:32:22.101Z,"El lugar es mágico, la naturaleza esta increíblemente cuidada en la zona y las fotos salen espectaculares",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_4c6c28f60dc925bb,Catarata de Ahuashiyacu,Google Maps,es,5,2023-09-10T13:12:58.827Z,"Excelente lugar para disfrutar de un día de relax incluida una breve, pero reparadora caminata, que te permite apreciar la bella naturaleza rodeada de vegetación.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_1f140e49d2f1be06,Catarata de Ahuashiyacu,Google Maps,es,5,2024-09-12T01:22:07.998Z,"A 20 minutos aprox del centro una bella catarata, ideal para matar el calor y relajarse",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_08d0143edde09f96,Catarata de Ahuashiyacu,Google Maps,es,5,2021-11-22T10:58:27.553Z,"Hermoso lugar en camino a Tarapoto, bonito paisaje m, y se hace una caminata de 15 minutos aprox. subiendo gradas, hay bodegas al inicio y al llegar a la catarata. Se puede nadar en la poza. Muy recomendable",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_e7c07c51580ef2a2,Catarata de Ahuashiyacu,Google Maps,es,5,2021-09-02T01:23:41.363Z,"Hermosa catarata, una pequeña subida con escalones de piedra, poca dificultad. Vale la pena, sus aguas frias pero excelente para refrescarse del calor.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_e172fa286fe852a7,Catarata de Ahuashiyacu,Google Maps,es,5,2018-07-30T17:59:02.960Z,"Lindo lugar, pese a que no es temporada de lluvias las cataratas son muy vistosas.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_2017fbd7c1989073,Circuito Mágico del Agua,Google Maps,en,5,2022-12-11T15:21:46.949Z,"There are many different kinds of water fountains. Very enjoyable for children: Papa Noel's House, you can get pictures with many cartoon heroes, on the other side there is a GEEK festival. There is a toilet inside the park, which costs 50 centavos, half of sole, local currency. I find very enjoyable water and music fountain. I saw images on the water from history of Peru and its famous people.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_ad38406c1f28f6ba,Circuito Mágico del Agua,Google Maps,en,5,2026-04-06T13:09:11.689Z,"Loved it here,I would tell any body visiting lima to go an watch the water history. Cause that's what it really is. It's a stroy telling water work an they have rides in the park For kids an adult. I enjoyed my self here",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_f092ec3b5a884da4,Circuito Mágico del Agua,Google Maps,en,4,2025-12-15T05:17:02.272Z,It is a very nice park with great landscaping and plenty of things to do. I am lowering my review due to the terrible public restrooms in the park.,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_164c3fff72f042dd,Circuito Mágico del Agua,Google Maps,en,4,2018-01-10T21:46:51.816Z,"Nice placee to relax with kids and family, specially during summer time, you can play with the water in some of the fountains. There's also a music show with water and colorful projections.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_40065192a246eff4,Circuito Mágico del Agua,Google Maps,en,5,2018-07-20T03:34:05.482Z,"Worth the 4 soles it takes to get in, but definitely more fun if you're not alone. There's a show at the largest fountain at 7:15 pm with lasers and projectors. Looks like a good place for a picnic too, wish I could've done that.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_716ea0a1285ba3e4,Circuito Mágico del Agua,Google Maps,en,4,2018-07-02T01:32:57.482Z,"Fun fountains to view. The show is nice as well. Limited food options inside, though greater selection just outside the main entrance. For 4 soles, it's worth a few hours.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_03b0436ffab2c4ee,Circuito Mágico del Agua,Google Maps,en,4,2023-07-25T09:06:01.218Z,For S/4 it was a fun activity for groups. Park was clean and meticulously maintained. The light show is scheduled so take note of that. Entry is at Puerta 3 or gate 3. My kids enjoyed the water tunnel the most.,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_c2d38840997a04af,Circuito Mágico del Agua,Google Maps,en,5,2019-04-15T13:38:23.734Z,"Amazing!! 13 fountains, different styles and theme. The park was easy to navigate and not overly crowded. Our tour guide explained everything in both English and Spanish.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_1691a487426cca40,Circuito Mágico del Agua,Google Maps,en,5,2018-08-19T19:27:14.652Z,"It's a wonderful place to visit at night and Lima, there are a lot of water fountain.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_8c92dc8dcbaa0270,Circuito Mágico del Agua,Google Maps,en,5,2018-11-19T18:54:22.907Z,"I did not know what to expect when coming here, but it was a pleasant surprise. The 10+ fountains are just amazing to watch and sync with music perfectly. It seems to be a cross between the Bellagio in Las Vegas and the Disneyland electric parade show. The fountains are a great soothing experience to get you out of the hustle and bustle of the busy city of Lima. A great romantic night and rides for kids too.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_10eeea8d20ebabc6,Circuito Mágico del Agua,Google Maps,en,5,2025-06-05T14:38:33.261Z,We went for the show and it was pretty good. It's not a typical show like at Bellagio in LV. This is mainly a movie projected onto a screen of mist. But it was done well. And it sounded amazing.,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_22a74b755fa137b7,Circuito Mágico del Agua,Google Maps,en,4,2019-12-08T17:12:01.802Z,The pearl of Lima at night. Worth more than 4 soles. It's sad that the staff didn't help arrange those who want to take a nice photo so that you can see people push each other in order to take a good position. Shame.,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_1febbc240bd8d8ff,Circuito Mágico del Agua,Google Maps,en,5,2017-08-19T03:41:27.687Z,I loved this place. I can't describe such beauty animation water. It is a place you will never regret to visit.,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_faffa2b959ba5037,Circuito Mágico del Agua,Google Maps,en,5,2020-02-23T16:56:12.354Z,"I was expecting something dull, but the park is beautiful, amazing collection of fountains. Particularly liked the teapot fountain ( I am British) but the light show was awesome. Put the Las Vegas Bellagio fountains to shame and then some. Ended up being the highlight of a great day! Don't miss it. It's well worth a visit and celebrates Peru's ancient history, flora and fauna...Perfect for a romantic evening or a family trip.Well worth the 4 soles admission!",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_98d61bf10a75fc94,Circuito Mágico del Agua,Google Maps,en,5,2025-02-19T15:40:05.869Z,"Pretty damn amazing, honestly. I don't typically link like tourist attractions and stuff but this was REALLY COOL",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_59c7c57f9a2adcf5,Circuito Mágico del Agua,Google Maps,en,5,2022-07-27T23:53:41.195Z,"Wonderful water park. The fountains and attractions are beautiful. You definitely need to visit it at night. It's a bit smaller than it looks. So be careful and don't miss the 2nd area. A warning, it has parking inside and is big enough for everyone. However, before to arrive, in Petit Thouars avenue there are people who want to deviate you to park far away from the park (Washington park) and charge you for it. Don't follow them. They wear reflective vests and kinda look official but they aren't. Park your car inside the complex.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_0903c30b8869ab85,Circuito Mágico del Agua,Google Maps,en,5,2019-04-22T19:55:54.765Z,It is a good place to visit in Lima or a weekend in family.,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_4d99d01b1759e26f,Circuito Mágico del Agua,Google Maps,en,5,2025-10-10T01:26:51.317Z,A wonderful family oriented nighttime excursion in downtown Lima. Cost all of $1.25. They actually put a lot of effort into the show with wonderful fountains lights telling the history of the country of Peru. Worth an evening stroll.,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_428d84e79fab0768,Circuito Mágico del Agua,Google Maps,en,5,2024-03-29T22:31:45.565Z,"Awesome light show in the evening! Entrance cost is 4 soles, it was not so crowded. Light show starts at 7.15pm, lasts for 15 minutes",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_189d6d98ed9f6079,Circuito Mágico del Agua,Google Maps,en,3,2019-01-12T00:47:02.922Z,Nice walking place for dollar and half. U should go by 7pm when light show is running. They also have slash water for kids during summer months. U should respect grass on don't sit on unassigned areas,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_008d2c037442e6f1,Circuito Mágico del Agua,Google Maps,en,5,2026-01-08T03:55:11.612Z,Canadian tourist visiting Lima with my daughter. I found this experience very enjoyable and recommend it to everyone. The only downside is the excessive number of vendors immediately outside the site (especially those offering private transportation/taxi services). A real ambush! 🤯,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_fa0ec4d0926a428a,Circuito Mágico del Agua,Google Maps,en,5,2016-12-03T13:45:16.873Z,"Very beautiful park, especially by night, when light effects and music are used with the fountains to create a special atmosphere. The entrance is S/.4 per person.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_e354b5d4ff13084d,Circuito Mágico del Agua,Google Maps,en,5,2020-11-02T20:47:59.651Z,We haven't had the chance to see it during the night but it is a nice and quite place to relax during the day as well.,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_fe12a82e5a32be71,Circuito Mágico del Agua,Google Maps,en,5,2022-08-15T04:30:51.738Z,"My very favorite place 😍 it's a must go, must see, must experience place while in Lima.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_96eec0d0bb1c807f,Circuito Mágico del Agua,Google Maps,en,5,2021-11-03T04:00:26.558Z,"An amazing park, definitely make it a point to stay for the special water show, it is absolutely beautiful and breathtaking! Get there early to get seats to the show, otherwise you'll have to sit on the grass. Regardless of where you sit, just be sure to watch the show!",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_e4f49fb12a96c087,Circuito Mágico del Agua,Google Maps,en,5,2025-04-07T18:51:29.011Z,"Lots of different fountains to see, really good value for money as it takes around 2hrs to see it all.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_1539b4f824f00566,Circuito Mágico del Agua,Google Maps,en,5,2018-12-30T22:51:01.248Z,Surprise package of the city. Amazing fountains. Great to go with family and kids. Take shorts and prepare to get wet. Fantastic !!,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_29eb5b038cda0e8c,Circuito Mágico del Agua,Google Maps,en,5,2018-07-01T09:30:03.600Z,"Awesome place, a variety of fountains with light shows and some interaction. Well worth the 4 soles entry fee.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_ebc13e085699be5d,Circuito Mágico del Agua,Google Maps,en,5,2023-10-04T04:23:57.079Z,"When I first entered, I was underwhelmed. But after walking around for a while and seeing the different fountains, I realised that there was actually more there than I first anticipated. The main fountains varied their patterns over time, keeping interest alive. They varied from strong jets of water to spray effects and the lighting added further interest. The main Magic Fountain has incredibly powerful jets that shoot water up very high at times and the patterns vary over time well. There is also a fun tunnel made from water that people can walk through, but watch out for idiots that like to disrupt the water jets by putting their hands on the way in order to try to wet other visitors. But the main attraction is the 120 metre Fantasy Fountain, which has a display every 45 minutes or so. During this time, the fountains create a spray onto which projectors display an interesting film about the history of the country. This is mixed with music, lighting and other water jets to very good effect. It only cost 4 Soles to enter and they accept credit cards also. As you might expect, there are also food and drink vendors and toilets inside. There is also a fountain that people can go inside and play in (and get soaking wet).",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_b5e74d463d923604,Circuito Mágico del Agua,Google Maps,en,5,2018-07-26T04:37:09.550Z,"Great for family's and couples. Best at night. Don't forget to watch one of the 3 shows they have, very entertaining.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_fde3d2a818899806,Circuito Mágico del Agua,Google Maps,en,5,2024-11-16T00:48:50.685Z,"The water fountains in this park are a great attraction. Pictures near the water are fantastic, both during the day and at night when the light show starts.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_3713bc6f64cb37a7,Circuito Mágico del Agua,Google Maps,en,3,2026-01-07T12:23:43.181Z,"Visited it a on a weekday, and it was extremely crowded, too much to enjoy. The light show was nice - but it was the only thing worth seeing. The rides are expensive, and vibe is far from peaceful, with all the noise and chaos.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_172f85ab932ffe1f,Circuito Mágico del Agua,Google Maps,en,5,2018-11-02T03:05:33.210Z,Such a great spot for an evening stroll. Best 4 soles I've ever spent.,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_667011c5d342bcc7,Circuito Mágico del Agua,Google Maps,en,4,2018-09-18T01:43:27.917Z,"Lively Nice park, nice light show and good stalls are available for some snacks and light eats.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_4629326212bba422,Circuito Mágico del Agua,Google Maps,en,5,2022-02-19T23:18:04.734Z,"Biggest fountain park in the world. Most of them are pretty boring, but the lights make them simply amazing (so come here after dark). The highlight is the multimedia show. Simply stunning.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_ea04e962fff56d02,Circuito Mágico del Agua,Google Maps,en,5,2024-05-03T02:26:15.557Z,"It is a must see, while in Lima. The park even without the fountains was peaceful and beautiful. The music and fountains were amazing. We spent 8 soles for the taxi and 4 soles each to see the evening light and music show. I recommend arriving at 6 and watching the 7:15 show. There are plenty of taxi's to return you home or to your hotel. Ask the taxi how much before jumping in.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_292937bb7e557279,Circuito Mágico del Agua,Google Maps,en,5,2023-11-13T07:29:56.236Z,Great experience at night...something different and so many fountains and colors...great value and so cheap to enter @$2...well worth it...,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_d8ba9838fdad003f,Circuito Mágico del Agua,Google Maps,en,5,2018-11-11T11:57:29.996Z,"Must visit if you are visiting Lima,Peru. This is a huge park with 10+ amazing fountains! The light and musical fountains shows at night are incredible. You can easily spend 2-3 hrs here watching the spectacular fountains!",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_b753a928c1a19e5d,Circuito Mágico del Agua,Google Maps,en,3,2025-06-25T22:56:57.714Z,"Probably more impressive after dark, when the fountains are lit. Still, it is a quiet enclave from the bustle of Lima.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_6cea124cbb63e0f6,Circuito Mágico del Agua,Google Maps,en,5,2018-08-11T02:01:38.329Z,"Saw so many dance water fountains but this offers different shows with laser projecting movies on the moving water fountains. Our whole family enjoy the 20mins show. 4 solas to get in. But make sure to get there a bit early to get a good spot. It’s also next to the soccer stadium, hard to get taxi at the game night",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_6ec925d83c945402,Ciudadela de Kuélap,Google Maps,es,5,2024-09-02T14:11:42.457Z,"Actualmente por los temas de conservación hay una recorrido externo. Aún así se puede observar la maravillosa arquitectura. La entrada es libre cada primer domingo de cada mes ✨. El teleférico ayuda a llegar rápido, sin embargo muchas veces se va la corriente eléctrica como me sucedió, pero la empresa te ayuda a trasladarte con movilidad terrestre.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
